"type","route","crag","sector","grade","date","comment","commentRich","quality","style","country","region"
"sport","La Chevre De m. Seguin","La Maison des Chevres","","8a","2019-10-24","","","","onsight","greece","Leonidio"
"sport","Advocatus diaboli","Kyparissi","babala","8a","2019-10-23","Otra joya, menudo sector","Otra joya, menudo sector","","onsight","greece",""
"sport","Father of lies","Kyparissi","babala","8a","2019-10-23","#2go               patinazoooooo","#2go patinazoooooo","","redpoint","greece",""
"sport","Octo Plus","Kyparissi","babala","8a","2019-10-23","Muy soft pero de las mejores","Muy soft pero de las mejores","","flash","greece",""
"sport","Boys","Nifada","","8a","2019-10-21","","","","onsight","greece","Leonidio"
"sport","Bolek","Elona","","8a","2019-10-20","","","","onsight","greece","Leonidio"
"sport","Lolek","Elona","","8a","2019-10-20","","","","onsight","greece","Leonidio"
"sport","Venganza Del Silencio","Elona","","8a","2019-10-18","Lo mejor las dos ultimas cintas","Lo mejor las dos ultimas cintas","","onsight","greece","Leonidio"
"sport","Paranihida","Elona","","8a","2019-10-18","","","","onsight","greece","Leonidio"
"sport","Patata Negra","Twin caves","","8a","2019-10-17","","","","onsight","greece","Leonidio"
"sport","Albatros","Margalef","","8a","2019-10-09","Muy guapa","Muy guapa","","onsight","spain","Barcelona"
"sport","El Zar del Bajo Cinca","Cingles del torroner","","8a","2019-09-14","Gozona","Gozona","","onsight","spain","Margalef"
"sport","Longinus","Cingles del torroner","","8a","2019-09-14","","","","flash","spain","Margalef"
"sport","Guairita","Rodellar","el museo","8a","2019-08-30","8a? Por que ha sido un verano muy largo y en el pozo hace mucho frío!! Kymy como sabes a donde llevarme!!! ja ja ja","8a? Por que ha sido un verano muy largo y en el pozo hace mucho frío!! Kymy como sabes a donde llevarme!!! ja ja ja","","onsight","spain",""
"sport","El Código","Rodellar","el museo","8a","2019-08-30","Muy buena vía de Primo, buena cerrada os habéis dado, gracias!!!","Muy buena vía de Primo, buena cerrada os habéis dado, gracias!!!","","onsight","spain",""
"sport","Bollito mío","Los Meses","ceva de la paja","8a","2019-08-15","#FA                Primer pegue, hermana pequeña de ""Bollito"" el diedro es brutal","#FA Primer pegue, hermana pequeña de ""Bollito"" el diedro es brutal","","redpoint","spain",""
"sport","A escuadra","Los Meses","cueva de la paja","8a","2019-08-10","Brutal de buena","Brutal de buena","","redpoint","spain",""
"sport","Davidoff","Bielsa","el rincon de sin","8a","2019-08-08","","","","onsight","spain",""
"sport","Planosphere","Bielsa","el rincon","8a","2019-08-07","","","","onsight","spain",""
"sport","Iratiko oihana","Los Meses","cueva de la paja","8a","2019-08-04","Primer pegue, no sabes ni por que vía vas...","Primer pegue, no sabes ni por que vía vas...","","redpoint","spain",""
"sport","A nadie le amarga un dulce duro","Los Meses","cueva de la paja","8a","2019-08-03","#2go               Variante de la derecha, creo que estaba sin hacer","#2go Variante de la derecha, creo que estaba sin hacer","","redpoint","spain",""
"sport","No vas flutan","Los Meses","la paja","8a","2019-07-19","#FA","#FA","","flash","spain",""
"sport","Canfranc tropical","Aguare","","8a","2019-07-14","#2go               Una placa de excelente calidad","#2go Una placa de excelente calidad","","redpoint","spain",""
"sport","Cordada de sangre","Los Meses","cueva de la paja","8a","2019-07-13","#2go               Primer pegue hace años, hoy a flash de Kymy","#2go Primer pegue hace años, hoy a flash de Kymy","","redpoint","spain",""
"sport","Mestizaje","Los Meses","cueva de la paja","8a","2019-07-13","#2go               Muy guapa","#2go Muy guapa","","redpoint","spain",""
"sport","Good Time","Bielsa","rincon de sin","8a","2019-06-28","","","","flash","spain",""
"sport","El klan de lídan","Rodellar","gran boveda","8a","2019-06-06","Primer pegue, ya tenia hecha la que se va hacia la derecha, buena","Primer pegue, ya tenia hecha la que se va hacia la derecha, buena","","redpoint","spain",""
"sport","La costra norta","Rodellar","boveda","8a","2019-05-30","#2go","#2go","","redpoint","spain",""
"sport","Cowboy de migmatí","Coma closa","","8a","2019-05-25","#2go               Buena vía de Vicent","#2go Buena vía de Vicent","","redpoint","spain","Margalef"
"sport","Duelo al sol","Margalwest","","8a","2019-05-19","#2go","#2go","","redpoint","spain","Margalef"
"sport","Zapotek","Margalef","","8a","2019-05-18","#2go               Muy guapa, dos a la derecha de ""El Despistao""","#2go Muy guapa, dos a la derecha de ""El Despistao""","","redpoint","spain","Barcelona"
"sport","Peligrosa María","Cuenca","las marias","8a","2019-04-03","#2go","#2go","","redpoint","spain",""
"sport","El vuelo del pichón","Cuenca","fortin","8a","2019-04-02","Muy guapa, lloviendo arriba!!! Los tallados no hacen falta, la vía sería poco más difícil pero ganaría mucho en calidad.","Muy guapa, lloviendo arriba!!! Los tallados no hacen falta, la vía sería poco más difícil pero ganaría mucho en calidad.","","onsight","spain",""
"sport","NeandertAller","Finestra extension","","8a","2019-03-09","","","","flash","spain","Margalef"
"sport","El club de la arruga","Bentue","la raya","8a","2019-03-08","#2go               retorno a Bentue!!","#2go retorno a Bentue!!","","redpoint","spain",""
"sport","Foc a la metxa","Capçanes","","8a","2019-03-03","","","","onsight","spain",""
"sport","Sac de gemecs","Capçanes","la fou","8a","2019-03-03","","","","onsight","spain",""
"sport","Autòctona","Capçanes","el torto","8a","2019-03-02","#2go","#2go","","redpoint","spain",""
"sport","Fora de temps","Capçanes","barranc del torto","8a","2019-03-02","","","","onsight","spain",""
"sport","Stonemaster","Trasobares","el bombo","8a","2019-02-23","#2go","#2go","","redpoint","spain",""
"sport","Domingo de gramos","Trasobares","","8a","2019-02-23","#2go               Espoloncito chulo","#2go Espoloncito chulo","","redpoint","spain",""
"sport","00 Strunz","Rodellar","gran boveda","8a","2019-02-08","Dos a la izquierda de Bramtolin","Dos a la izquierda de Bramtolin","","redpoint","spain",""
"sport","Las trece rosas","San Pelegrín","san pelegrin","8a","2019-01-15","Joder que apretón!!! Sin marcar y un poco sucia!! Dura pero preciosa!!!","Joder que apretón!!! Sin marcar y un poco sucia!! Dura pero preciosa!!!","","onsight","spain",""
"sport","O coronazo","San Pelegrín","","8a","2019-01-12","","","","onsight","spain",""
"sport","Juan rana","Reguchillo","","8a","2019-01-04","La más dura de los 8as","La más dura de los 8as","","redpoint","spain",""
"sport","Morko","Reguchillo","celador","8a","2019-01-04","#2go","#2go","","redpoint","spain",""
"sport","Mi pequeno tal Ivan","Reguchillo","","8a","2019-01-04","Buen flash de Gonzalo!","Buen flash de Gonzalo!","","flash","spain",""
"sport","Lola Flores","Reguchillo","lola flores","8a","2019-01-04","Facililla pero la más guapa de todas","Facililla pero la más guapa de todas","","onsight","spain",""
"sport","animal pack","Reguchillo","","8a","2019-01-04","El quinto del día, toma!!!!!","El quinto del día, toma!!!!!","","flash","spain",""
"sport","amaikok","Reguchillo","","8a","2019-01-01","#2go               El primero del año!!","#2go El primero del año!!","","redpoint","spain",""
"sport","atila","Reguchillo","","8a","2018-12-31","#2go               El último del año!!! Muy guapa!!","#2go El último del año!!! Muy guapa!!","","redpoint","spain",""
"sport","El lechero","L'Àtic","","8a","2018-12-06","","","","redpoint","spain","Margalef"
"sport","Gas a Fondo","Cingles del Molí","","8a","2018-11-02","Guapa, de lo poco que libraba hoy...","Guapa, de lo poco que libraba hoy...","","redpoint","spain","Margalef"
"sport","Carmen","Cuenca","portero de noche","8a","2018-10-20","#2go","#2go","","redpoint","spain",""
"sport","Dinamita pa los pollos","Cuenca","piscinas","8a","2018-10-14","#2go","#2go","","redpoint","spain",""
"sport","N.N.","Unknown Crag","","8a","2018-10-04","","","","redpoint","spain","Margalef"
"sport","El tio de la vara","Rodellar","surgencia","8a","2018-09-30","#2go               Guapa, pero le falta algún martillazo","#2go Guapa, pero le falta algún martillazo","","redpoint","spain",""
"sport","Dora","Rodellar","maldita codicia","8a","2018-09-29","#2go               Muy guapa","#2go Muy guapa","","redpoint","spain",""
"sport","N.N.","Rodellar","surgencia","8a","2018-09-22","","","","redpoint","spain",""
"sport","Toetm","Finestra","","8a","2018-09-18","#FA                2 pegues; guapísima vía de Vicent!!!","#FA 2 pegues; guapísima vía de Vicent!!!","","redpoint","spain","Margalef"
"sport","Borregoide","Fiestra","","8a","2018-09-17","","","","onsight","spain","Margalef"
"sport","N.N.","Campo","el puente","8a","2018-07-12","#2go               Continuación del 6c, hasta la tercera reunión que puso Dani, la segunda re habría que quitarla...","#2go Continuación del 6c, hasta la tercera reunión que puso Dani, la segunda re habría que quitarla...","","redpoint","spain",""
"sport","Esmusa extension","Campo","la ola","8a","2018-07-11","","","","onsight","spain",""
"sport","pata negra r2","Ramales","eco","8a","2018-07-09","","","","redpoint","spain",""
"sport","Punto cero","Cerulleda","socueva","8a","2018-07-09","","","","flash","spain",""
"sport","Superchango","Teverga","pingalagua","8a","2018-07-03","Super guapa fe roca excepcional, salí con la tercera chapada que con la fiebre que llevaba no estaba la cosa como pa tontear!!!!","Super guapa fe roca excepcional, salí con la tercera chapada que con la fiebre que llevaba no estaba la cosa como pa tontear!!!!","","redpoint","spain",""
"sport","City plus manus","Rodellar","alibaba","8a","2018-06-17","#2go               Buen final para la City","#2go Buen final para la City","","redpoint","spain",""
"sport","no city plus","Rodellar","ali baba","8a","2018-06-17","#2go","#2go","","redpoint","spain",""
"sport","Chivania","Vadiello","chivania","8a","2018-06-09","#2go               Salvamos un día fétido fétido!!!","#2go Salvamos un día fétido fétido!!!","","redpoint","spain","Barcelona"
"sport","Dracarys","Foz de zafrané","cueva","8a","2018-05-23","","","","onsight","spain",""
"sport","300 R-2","Foz de zafrané","cueva","8a","2018-05-16","#FA                entre 7c+ y 8a, supongo que se quedara de 8a... no se, hay que seguir para arriba!!!!!","#FA entre 7c+ y 8a, supongo que se quedara de 8a... no se, hay que seguir para arriba!!!!!","","redpoint","spain",""
"sport","Freeman","Finestra","","8a","2018-05-13","Nueva via de Vicent, muy buena, 7c+ o 8a no se, por ahí andará...","Nueva via de Vicent, muy buena, 7c+ o 8a no se, por ahí andará...","","redpoint","spain","Margalef"
"sport","40°","Cuenca","merendero","8a","2018-05-05","#2go","#2go","","redpoint","spain",""
"sport","La tupe flashe","Cuenca","sombretivo","8a","2018-05-04","","","","redpoint","spain",""
"sport","Cabe esperar","Cuenca","sombretivo","8a","2018-05-01","muy guapa","muy guapa","","onsight","spain",""
"sport","Drogopropulsado","Buñol","techo del corral","8a","2018-04-01","tres pegues, puto dino!!!","tres pegues, puto dino!!!","","redpoint","spain",""
"sport","Bracitos de plástico","Cortes de Pallás","boveda","8a","2018-03-30","Flash detallado de Kymy!!!ja ja ja","Flash detallado de Kymy!!!ja ja ja","","flash","spain",""
"sport","Pequeño jabalí","Cortes de Pallás","boveda","8a","2018-03-29","","","","flash","spain",""
"sport","La crema","Siuranella Sud","","8a","2018-03-18","De las mejores","De las mejores","","onsight","spain","Siurana"
"sport","Patitas de Canario","L'olla","","8a","2018-03-04","","","","redpoint","spain","Siurana"
"sport","Mandarina mecánica","Alquezar","castibian","8a","2018-02-10","#2go               Buena vía de Salva","#2go Buena vía de Salva","","redpoint","spain","Barcelona"
"sport","Minimal Techno","Salt de la reina mora","","8a","2018-01-17","","","","onsight","spain","Siurana"
"sport","Chien Orange","Cabernet","","8a","2018-01-12","#2go               Primer ocho del año!! junto a Taus!!","#2go Primer ocho del año!! junto a Taus!!","","redpoint","spain","Margalef"
"sport","Plugim-pujant","Balco de l'Ermita","margalef","8a","2017-12-10","#2go               Intentando escapar!!! Que tengo al trufero detrás presionando!!!! Ja ja ja","#2go Intentando escapar!!! Que tengo al trufero detrás presionando!!!! Ja ja ja","","redpoint","spain","Margalef"
"sport","Big Burley","Dark side","","8a","2017-11-05","","","","redpoint","united states","Red River Gorge (KY)"
"sport","Golden Boy","Gold Coast","","8a","2017-10-31","","","","redpoint","united states","Red River Gorge (KY)"
"sport","Straight Outta Campton","Dark side","","8a","2017-10-31","#2go","#2go","","redpoint","united states","Red River Gorge (KY)"
"sport","MILF Money","Bob Marley","","8a","2017-10-30","","","","redpoint","united states","Red River Gorge (KY)"
"sport","Golden Touch","Motherlode","","8a","2017-10-26","","","","redpoint","united states","Red River Gorge (KY)"
"sport","Cat's Demise","Chocolate Factory","","8a","2017-10-25","","","","onsight","united states","Red River Gorge (KY)"
"sport","Molten","Chocolate Factory","","8a","2017-10-25","","","","onsight","united states","Red River Gorge (KY)"
"sport","El Clan del coño","Rodellar","gran boveda","8a","2017-09-18","#2go","#2go","","redpoint","spain",""
"sport","Bouchon de amores","Rodellar","las ventanas del mascun","8a","2017-09-13","De lo más mercenario!!!!!","De lo más mercenario!!!!!","","redpoint","spain",""
"sport","Soldado universal","Pico del aguila","","8a","2017-09-06","","","","onsight","spain",""
"sport","Toñin","Bielsa","foz de la canal","8a","2017-08-31","#2go","#2go","","redpoint","spain",""
"sport","Efecto neopreno","Bielsa","foz de la canal","8a","2017-07-30","#2go               Nueva, no está mal, a la derecha del 8b de arriba","#2go Nueva, no está mal, a la derecha del 8b de arriba","","redpoint","spain",""
"sport","a jour passé","Bielsa","foz de la canal","8a","2017-07-26","Muy guapa!!!","Muy guapa!!!","","onsight","spain",""
"sport","El latiguillo","Rodellar","travesia de los angeles","8a","2017-07-16","#2go               Le di un pegue hace muchos años, hoy ""a vista"", muy buena vía olvidada de Beto, de las que no pueden faltar, 8a/a+","#2go Le di un pegue hace muchos años, hoy ""a vista"", muy buena vía olvidada de Beto, de las que no pueden faltar, 8a/a+","","redpoint","spain",""
"sport","Alhambra","Rodellar","la gran boveda","8a","2017-06-24","#2go               Muy buena vía de Mcklein!!!","#2go Muy buena vía de Mcklein!!!","","redpoint","spain",""
"sport","Clavando banderillas","Peña puerta","","8a","2017-06-18","#2go               La mejor","#2go La mejor","","redpoint","spain",""
"sport","Eternal flema","Peña puerta","","8a","2017-06-18","mejor 8a que 8a+","mejor 8a que 8a+","","onsight","spain",""
"sport","No te cortes tijeritas","Peña puerta","","8a","2017-06-17","#2go               sucia dificil a vista","#2go sucia dificil a vista","","redpoint","spain",""
"sport","Margot","Peña puerta","","8a","2017-06-17","intensa, diferente","intensa, diferente","","onsight","spain",""
"sport","Las dos golondrinas de la piscineta","Rodellar","piscineta","8a","2017-06-14","","","","onsight","spain",""
"sport","N.N.","Rodellar","","8a","2017-04-22","variante de La Ciudadela, laprimera parte ya la conocia de esta, el resto a vista","variante de La Ciudadela, laprimera parte ya la conocia de esta, el resto a vista","","redpoint","spain",""
