,Years,MAX,RoutesNbr,OS,Flash,RP,Region,<6a,6a-6c+,7a-7c+,=>8a,Grade,ID,Prediction
179,4,9,95,0.028,0.18,0.792,80,0,1,53,41,7.423,179,8
180,8,9,433,0.226,0.009,0.765,75,0,0,0,433,8.086,180,27
181,16,9,891,0.303,0.082,0.615,81,6,29,331,525,7.656,181,20
182,8,8.25,758,0.278,0.059,0.663,82,0,0,430,328,7.453,182,20
183,20,9.05,709,0.281,0.165,0.555,83,0,0,454,255,7.506,183,20
184,1,8.25,4,0,0,1,84,0,0,0,4,8.21,184,8
185,12,8.2,440,0.099,0.032,0.869,73,0,0,163,277,7.613,185,27
186,6,8.25,310,0.208,0.236,0.556,85,0,0,199,111,7.488,186,21
187,8,8.25,377,0.579,0.056,0.363,86,9,61,241,66,6.85,187,26
188,3,9,14,0,0,1,87,0,0,0,14,8.183,188,8
189,13,9,453,0.238,0.17,0.592,61,0,0,277,176,7.562,189,20
190,10,8.2,283,0.28,0.136,0.584,71,0,3,128,152,7.465,190,20
191,7,9,81,0.128,0.12,0.751,78,0,0,25,56,7.95,191,8
192,13,8.25,422,0.183,0.032,0.785,88,0,0,282,140,7.419,192,3
193,21,8.25,673,0.115,0.028,0.856,60,0,15,106,552,7.753,193,27
194,17,8.2,1055,0.299,0.139,0.562,82,1,27,820,207,7.278,194,20
195,10,9,197,0.031,0.267,0.702,89,5,24,90,78,7.535,195,8
196,9,8.25,163,0.066,0.048,0.886,73,0,0,16,147,7.982,196,8
197,6,8.25,213,0.159,0.016,0.822,69,0,0,82,131,7.725,197,8
198,15,9,222,0.035,0.039,0.927,74,0,0,0,222,8.069,198,27
199,9,8.25,435,0.054,0.061,0.878,73,0,1,11,423,8.018,199,27
200,13,8.2,418,0.374,0.044,0.582,58,30,63,241,84,7.105,200,20
201,22,8.15,2362,0.346,0.094,0.56,67,35,116,2118,93,7.033,201,6
202,12,8.05,687,0.341,0.117,0.53,90,65,265,347,10,6.443,202,7
203,5,8.15,48,0.417,0,0.583,61,0,2,29,17,7.708,203,9
204,7,8.15,234,0.357,0.033,0.61,91,1,14,185,34,7.219,204,21
205,8,8.1,279,0.34,0.011,0.606,76,3,31,224,21,7.046,205,9
206,15,8.1,379,0.235,0.087,0.678,60,0,6,319,54,7.273,206,20
207,9,8.1,534,0.449,0.201,0.326,69,1,187,324,22,6.774,207,26
